Customer_ID,Age,Annual_Income,Tenure_Months,Monthly_Spend,Support_Calls,Satisfaction_Score,Contract_Type,Internet_Service,Churn
20001,22,70616.0,27,1978.0,4,4.5,Annual,Fiber,0
20002,55,85796.0,32,2085.0,2,3.3,Annual,Fiber,0
20003,49,75958.0,13,974.0,6,3.4,Annual,Fiber,1
20004,39,23757.0,68,2266.0,1,2.7,Monthly,DSL,0
20005,38,70479.0,62,3074.0,2,4.5,Annual,Fiber,0
20006,59,66297.0,62,1439.0,1,2.9,Monthly,DSL,0
20007,22,72450.0,24,2435.0,4,3.9,Two Year,Fiber,0
20008,51,94092.0,24,1559.0,1,3.5,Monthly,Fiber,0
20009,27,27862.0,62,1730.0,0,2.7,Monthly,Fiber,0
20010,22,54360.0,40,3234.0,1,3.1,Two Year,None,0
20011,43,75636.0,51,1820.0,3,4.8,Monthly,DSL,1
20012,64,36531.0,36,2524.0,2,3.8,Monthly,Fiber,0
20013,53,91567.0,32,890.0,2,2.7,Annual,DSL,0
20014,54,71630.0,46,3504.0,1,3.9,Monthly,Fiber,0
20015,52,80239.0,59,2622.0,2,3.5,Monthly,Fiber,0
20016,55,54723.0,25,2072.0,5,5.0,Monthly,Fiber,0
20017,42,79648.0,59,2603.0,1,3.9,Monthly,Fiber,0
20018,24,84232.0,18,1213.0,2,3.3,Monthly,Fiber,1
20019,58,69192.0,30,3028.0,2,4.9,Monthly,DSL,0
20020,39,69219.0,66,1973.0,2,1.9,Monthly,Fiber,0
20021,42,69866.0,69,2057.0,2,3.7,Monthly,DSL,0
20022,35,49460.0,67,1856.0,1,5.0,Monthly,DSL,0
20023,26,62344.0,23,1794.0,1,3.5,Annual,DSL,0
20024,62,62255.0,61,2686.0,3,2.0,Annual,DSL,0
20025,55,71901.0,68,2379.0,3,3.2,Monthly,DSL,0
20026,48,82997.0,71,2656.0,0,4.9,Monthly,Fiber,0
20027,37,45946.0,2,2194.0,5,3.9,Two Year,Fiber,0
20028,57,,54,2559.0,0,2.8,Annual,Fiber,0
20029,44,91666.0,72,1907.0,3,3.0,Monthly,None,0
20030,39,51615.0,56,3761.0,2,3.1,Monthly,Fiber,0
20031,39,50199.0,17,1102.0,3,3.9,Monthly,DSL,1
20032,28,68642.0,55,3083.0,0,4.8,Annual,DSL,0
20033,22,80199.0,8,3158.0,3,4.5,Two Year,Fiber,0
20034,44,65206.0,35,1603.0,3,4.0,Two Year,DSL,0
20035,60,88921.0,46,3760.0,1,2.4,Monthly,Fiber,1
20036,21,80422.0,33,2897.0,2,2.4,Monthly,Fiber,0
20037,59,80153.0,51,2880.0,1,4.1,Monthly,DSL,0
20038,57,74974.0,18,2220.0,1,2.4,Monthly,Fiber,0
20039,31,106898.0,44,2048.0,2,3.4,Monthly,Fiber,1
20040,48,61307.0,47,2053.0,3,3.9,Annual,Fiber,0
20041,25,28937.0,46,2473.0,5,2.6,Monthly,Fiber,0
20042,54,93877.0,21,3181.0,4,2.7,Two Year,DSL,1
20043,51,56761.0,22,2327.0,1,3.5,Monthly,DSL,0
20044,35,66942.0,19,1562.0,5,4.1,Monthly,Fiber,0
20045,21,88572.0,34,2777.0,3,4.6,Two Year,Fiber,0
20046,64,36159.0,43,2845.0,1,4.1,Annual,Fiber,0
20047,39,42470.0,27,2658.0,3,3.7,Monthly,DSL,0
20048,60,36177.0,30,2722.0,2,2.9,Annual,DSL,0
20049,50,50706.0,21,2010.0,0,2.6,Monthly,Fiber,0
20050,55,72913.0,16,1550.0,3,3.1,Monthly,Fiber,1
20051,54,74435.0,48,1592.0,3,4.0,Monthly,None,0
20052,27,69973.0,59,1055.0,1,,Monthly,DSL,0
20053,35,39570.0,21,2366.0,1,1.7,Annual,Fiber,0
20054,40,23418.0,62,2142.0,0,2.9,Monthly,DSL,0
20055,41,65978.0,42,1892.0,4,4.7,Annual,Fiber,0
20056,20,56508.0,13,500.0,2,3.7,Annual,Fiber,0
20057,44,73269.0,27,1327.0,4,2.3,Monthly,DSL,0
20058,25,77635.0,1,2985.0,1,5.0,Monthly,Fiber,0
20059,53,67488.0,3,1735.0,1,3.6,Monthly,Fiber,0
20060,50,78682.0,25,2452.0,1,3.9,Annual,None,0
20061,62,69126.0,33,1227.0,2,4.0,Annual,DSL,0
20062,53,74541.0,58,3207.0,0,3.3,Annual,Fiber,0
20063,35,52316.0,10,2099.0,1,2.9,Monthly,DSL,0
20064,64,61767.0,61,2403.0,2,5.0,Monthly,DSL,0
20065,37,68542.0,17,3828.0,1,4.5,Monthly,DSL,0
20066,33,79770.0,10,3262.0,2,4.3,Monthly,None,0
