Order_ID,Order_Date,Region,Sales_Channel,Product_Category,Payment_Method,Units_Sold,Unit_Price,Discount,Customer_Rating,Delivery_Days,Inventory_Available,Gross_Sales,Net_Sales,Cost,Profit,Profit_Margin
RET-50001,2023-01-01 00:00:00.000000000,North,Online,Office Supplies,Cash,12,3121.67,0.05,3.6,6.0,168,37460.04,35587.04,25800.94,9786.1,27.5
RET-50002,2023-01-01 19:29:17.953281423,East,Store,Furniture,Credit Card,3,1929.63,0.2,3.5,3.0,76,5788.89,4631.11,3165.63,1465.48,31.64
RET-50003,2023-01-02 14:58:35.906562847,South,Store,Office Supplies,Debit Card,1,667.28,0.15,4.2,6.0,183,667.28,567.19,462.92,104.27,18.38
RET-50004,2023-01-03 10:27:53.859844271,North,Store,Office Supplies,UPI,9,1536.47,0.05,3.5,4.0,199,13828.23,13136.82,6585.2,6551.62,49.87
RET-50005,2023-01-04 05:57:11.813125695,West,Wholesale,Office Supplies,Net Banking,6,2591.62,0.1,3.8,3.0,13,15549.72,13994.75,7229.23,6765.52,48.34
RET-50006,2023-01-05 01:26:29.766407119,South,Store,Electronics,Credit Card,7,1133.0,0.05,4.3,7.0,52,7931.0,7534.45,6143.85,1390.6,18.46
RET-50007,2023-01-05 20:55:47.719688542,East,Wholesale,Furniture,Net Banking,2,1305.2,0.15,3.0,4.0,10,2610.4,2218.84,1491.8,727.04,32.77
RET-50008,2023-01-06 16:25:05.672969966,East,Online,Beauty,Debit Card,6,398.92,0.1,4.3,3.0,128,2393.52,2154.17,1306.63,847.54,39.34
RET-50009,2023-01-07 11:54:23.626251390,South,Online,Clothing,Credit Card,10,688.18,0.1,4.4,5.0,102,6881.8,6193.62,4956.0,1237.62,19.98
RET-50010,2023-01-08 07:23:41.579532814,South,Online,Clothing,UPI,5,360.92,0.05,3.9,9.0,132,1804.6,1714.37,1353.23,361.14,21.07
RET-50011,2023-01-09 02:52:59.532814238,North,Store,Clothing,Net Banking,12,4165.04,0.0,4.6,5.0,211,49980.48,49980.48,38990.64,10989.84,21.99
RET-50012,2023-01-09 22:22:17.486095661,South,Online,Beauty,Cash,12,1631.55,0.05,3.7,5.0,137,19578.6,18599.67,9109.12,9490.55,51.03
RET-50013,2023-01-10 17:51:35.439377085,West,Store,Furniture,Cash,10,1922.01,0.1,3.9,1.0,232,19220.1,17298.09,10701.41,6596.68,38.14
RET-50014,2023-01-11 13:20:53.392658509,West,Online,Beauty,Net Banking,13,1051.87,0.15,2.9,8.0,186,13674.31,11623.16,8868.56,2754.6,23.7
RET-50015,2023-01-12 08:50:11.345939933,East,Wholesale,Beauty,Net Banking,11,464.35,0.05,2.2,2.0,77,5107.85,4852.46,3025.4,1827.06,37.65
RET-50016,2023-01-13 04:19:29.299221357,East,Online,Office Supplies,Debit Card,3,1345.42,0.1,3.4,5.0,61,4036.26,3632.63,2597.13,1035.5,28.51
RET-50017,2023-01-13 23:48:47.252502780,West,Online,Electronics,Credit Card,13,793.43,0.15,4.0,4.0,16,10314.59,8767.4,6660.65,2106.75,24.03
RET-50018,2023-01-14 19:18:05.205784204,North,Online,Office Supplies,Cash,10,638.86,0.05,4.1,4.0,157,6388.6,6069.17,4308.13,1761.04,29.02
RET-50019,2023-01-15 14:47:23.159065628,East,Store,Office Supplies,UPI,2,1244.01,0.1,3.9,5.0,170,2488.02,2239.22,1288.68,950.54,42.45
RET-50020,2023-01-16 10:16:41.112347052,North,Store,Office Supplies,Net Banking,5,1288.79,0.15,3.9,2.0,93,6443.95,5477.36,3966.82,1510.54,27.58
RET-50021,2023-01-17 05:45:59.065628476,East,Store,Clothing,Cash,3,1067.16,0.1,4.0,4.0,93,3201.48,2881.33,2306.36,574.97,19.96
RET-50022,2023-01-18 01:15:17.018909900,East,Online,Beauty,Debit Card,14,725.46,0.0,4.1,3.0,203,10156.44,10156.44,6350.3,3806.14,37.48
RET-50023,2023-01-18 20:44:34.972191323,North,Online,Office Supplies,Debit Card,11,632.24,0.1,3.6,2.0,211,6954.64,6259.18,3662.57,2596.61,41.48
RET-50024,2023-01-19 16:13:52.925472747,East,Online,Clothing,Net Banking,13,1204.94,0.0,3.0,4.0,164,15664.22,15664.22,10937.95,4726.27,30.17
RET-50025,2023-01-20 11:43:10.878754171,East,Online,Clothing,UPI,4,2656.31,0.05,4.5,6.0,134,10625.24,10093.98,5680.08,4413.9,43.73
RET-50026,2023-01-21 07:12:28.832035595,North,Store,Electronics,Net Banking,9,422.96,0.15,3.2,5.0,244,3806.64,3235.64,1922.05,1313.59,40.6
RET-50027,2023-01-22 02:41:46.785317019,West,Store,Clothing,Debit Card,9,782.82,0.1,5.0,3.0,118,7045.38,6340.84,3847.94,2492.9,39.31
RET-50028,2023-01-22 22:11:04.738598442,North,Online,Clothing,UPI,11,1079.81,0.0,3.4,6.0,75,11877.91,11877.91,9085.85,2792.06,23.51
RET-50029,2023-01-23 17:40:22.691879866,West,Online,Office Supplies,Net Banking,2,1082.36,0.1,3.8,8.0,208,2164.72,1948.25,1428.78,519.47,26.66
RET-50030,2023-01-24 13:09:40.645161290,South,Wholesale,Electronics,Debit Card,8,816.3,0.1,4.6,2.0,21,6530.4,5877.36,4533.48,1343.88,22.87
RET-50031,2023-01-25 08:38:58.598442714,South,Wholesale,Electronics,Credit Card,10,4203.22,0.15,3.7,2.0,179,42032.2,35727.37,17190.76,18536.61,51.88
RET-50032,2023-01-26 04:08:16.551724138,West,Online,Furniture,Net Banking,12,1556.11,0.1,3.3,8.0,164,18673.32,16805.99,9105.03,7700.96,45.82
RET-50033,2023-01-26 23:37:34.505005561,South,Store,Furniture,Net Banking,10,632.44,0.15,3.9,3.0,81,6324.4,5375.74,4249.47,1126.27,20.95
RET-50034,2023-01-27 19:06:52.458286985,West,Online,Beauty,Cash,7,353.08,0.1,4.6,6.0,68,2471.56,2224.4,1519.81,704.59,31.68
RET-50035,2023-01-28 14:36:10.411568409,East,Store,Office Supplies,Credit Card,7,1072.96,0.0,4.0,3.0,38,7510.72,7510.72,6022.12,1488.6,19.82
RET-50036,2023-01-29 10:05:28.364849833,West,Online,Clothing,Credit Card,5,3139.23,0.1,3.9,5.0,72,15696.15,14126.54,8646.14,5480.4,38.8
RET-50037,2023-01-30 05:34:46.318131257,North,Store,Beauty,Net Banking,3,1360.18,0.0,4.0,6.0,22,4080.54,4080.54,2240.21,1840.33,45.1
RET-50038,2023-01-31 01:04:04.271412681,East,Online,Beauty,Cash,4,266.32,0.05,4.8,2.0,233,1065.28,1012.02,707.48,304.54,30.09
RET-50039,2023-01-31 20:33:22.224694104,South,Store,Beauty,Debit Card,3,490.32,0.05,3.2,7.0,145,1470.96,1397.41,769.01,628.4,44.97
RET-50040,2023-02-01 16:02:40.177975528,West,Store,Electronics,Credit Card,4,1299.81,0.1,4.2,3.0,46,5199.24,4679.32,2694.11,1985.21,42.43
RET-50041,2023-02-02 11:31:58.131256952,South,Store,Furniture,Credit Card,12,2401.92,0.05,5.0,4.0,34,28823.04,27381.89,16971.05,10410.84,38.02
RET-50042,2023-02-03 07:01:16.084538376,West,Online,Beauty,Credit Card,8,1315.24,0.05,4.0,4.0,146,10521.92,9995.82,7366.04,2629.78,26.31
RET-50043,2023-02-04 02:30:34.037819800,West,Store,Clothing,Cash,2,1322.29,0.15,4.6,5.0,172,2644.58,2247.89,1493.73,754.16,33.55
RET-50044,2023-02-04 21:59:51.991101223,West,Online,Office Supplies,Cash,7,2410.34,0.0,3.6,5.0,51,16872.38,16872.38,11345.11,5527.27,32.76
RET-50045,2023-02-05 17:29:09.944382647,North,Online,Clothing,Cash,4,2715.26,0.1,3.7,3.0,12,10861.04,9774.94,6309.68,3465.26,35.45
RET-50046,2023-02-06 12:58:27.897664071,South,Online,Furniture,UPI,10,773.04,0.1,4.1,7.0,145,7730.4,6957.36,5586.28,1371.08,19.71
RET-50047,2023-02-07 08:27:45.850945495,North,Online,Beauty,Net Banking,12,1595.28,0.0,4.0,4.0,144,19143.36,19143.36,15678.37,3464.99,18.1
RET-50048,2023-02-08 03:57:03.804226919,North,Store,Beauty,Cash,1,644.05,0.1,3.4,5.0,26,644.05,579.64,376.94,202.7,34.97
RET-50049,2023-02-08 23:26:21.757508342,North,Wholesale,Office Supplies,Debit Card,7,596.04,0.05,4.6,6.0,141,4172.28,3963.67,2629.29,1334.38,33.67
RET-50050,2023-02-09 18:55:39.710789766,West,Online,Electronics,Debit Card,7,1759.0,0.15,3.7,4.0,211,12313.0,10466.05,5050.52,5415.53,51.74
RET-50051,2023-02-10 14:24:57.664071190,West,Online,Beauty,Net Banking,14,475.73,0.0,4.5,5.0,129,6660.22,6660.22,4925.05,1735.17,26.05
RET-50052,2023-02-11 09:54:15.617352614,West,Online,Electronics,Debit Card,6,1340.09,0.0,4.0,6.0,186,8040.54,8040.54,5773.5,2267.04,28.2
RET-50053,2023-02-12 05:23:33.570634038,North,Online,Furniture,Credit Card,3,1471.9,0.1,4.9,2.0,38,4415.7,3974.13,2011.35,1962.78,49.39
RET-50054,2023-02-13 00:52:51.523915461,South,Online,Furniture,Credit Card,3,2100.46,0.1,3.9,4.0,140,6301.38,5671.24,2973.2,2698.04,47.57
RET-50055,2023-02-13 20:22:09.477196885,West,Wholesale,Electronics,UPI,7,568.1,0.15,3.5,8.0,180,3976.7,3380.2,1688.11,1692.09,50.06
RET-50056,2023-02-14 15:51:27.430478309,East,Wholesale,Beauty,Debit Card,9,1537.03,0.1,4.8,3.0,166,13833.27,12449.94,7796.04,4653.9,37.38
RET-50057,2023-02-15 11:20:45.383759733,North,Online,Clothing,UPI,5,1106.05,0.2,3.1,7.0,234,5530.25,4424.2,2977.53,1446.67,32.7
RET-50058,2023-02-16 06:50:03.337041157,North,Store,Clothing,Net Banking,7,3152.7,0.1,3.8,7.0,238,22068.9,19862.01,10067.66,9794.35,49.31
RET-50059,2023-02-17 02:19:21.290322580,East,Online,Office Supplies,Cash,10,740.47,0.2,3.8,7.0,25,7404.7,5923.76,4757.02,1166.74,19.7
