Order_ID,Order_Date,Region,Sales_Channel,Product_Category,Customer_Age,Units_Sold,Unit_Price,Discount,Customer_Rating,Revenue
ORD-10001,2023-01-01 00:00:00.000000000,West,Online,Clothing,50.0,10,2796.8,0.2,5.0,22374.4
ORD-10002,2023-01-02 02:59:43.359013867,East,Online,Beauty,33.0,2,2137.46,0.05,3.3,4061.17
ORD-10003,2023-01-03 05:59:26.718027734,East,Wholesale,Clothing,55.0,8,1759.79,0.0,4.6,14078.32
ORD-10004,2023-01-04 08:59:10.077041602,West,Online,Furniture,51.0,8,3443.07,0.0,4.3,27544.56
ORD-10005,2023-01-05 11:58:53.436055469,East,Online,Office Supplies,30.0,4,2042.21,0.1,4.2,7351.96
ORD-10006,2023-01-06 14:58:36.795069337,West,Store,Beauty,30.0,3,1734.87,0.1,4.2,4684.15
ORD-10007,2023-01-07 17:58:20.154083204,West,Online,Office Supplies,36.0,7,2027.34,0.15,3.9,12062.67
ORD-10008,2023-01-08 20:58:03.513097072,North,Store,Furniture,42.0,3,2029.46,0.0,4.9,6088.38
ORD-10009,2023-01-09 23:57:46.872110939,North,Online,Clothing,31.0,7,2857.74,0.0,4.3,20004.18
ORD-10010,2023-01-11 02:57:30.231124807,South,Wholesale,Clothing,,2,1785.78,0.0,4.1,3571.56
ORD-10011,2023-01-12 05:57:13.590138674,South,Online,Clothing,43.0,5,3374.49,0.1,4.7,15185.2
ORD-10012,2023-01-13 08:56:56.949152542,West,Store,Furniture,27.0,5,1138.48,0.15,4.5,4838.54
ORD-10013,2023-01-14 11:56:40.308166409,West,Online,Office Supplies,51.0,9,2320.54,0.1,4.2,18796.37
ORD-10014,2023-01-15 14:56:23.667180277,North,Online,Clothing,20.0,1,1048.63,0.1,4.1,943.77
ORD-10015,2023-01-16 17:56:07.026194144,South,Online,Furniture,62.0,4,,0.1,5.0,11386.19
ORD-10016,2023-01-17 20:55:50.385208012,West,Online,Beauty,55.0,8,1552.08,0.0,4.2,12416.64
ORD-10017,2023-01-18 23:55:33.744221879,North,Online,Office Supplies,22.0,6,1756.36,0.0,3.8,10538.16
ORD-10018,2023-01-20 02:55:17.103235747,West,Store,Electronics,56.0,9,2493.18,0.2,3.3,17950.9
ORD-10019,2023-01-21 05:55:00.462249614,North,Online,Furniture,33.0,10,2741.51,0.05,3.7,26044.34
ORD-10020,2023-01-22 08:54:43.821263482,South,Online,Beauty,49.0,9,966.09,0.15,3.2,7390.59
ORD-10021,2023-01-23 11:54:27.180277349,West,Wholesale,Clothing,29.0,4,1540.38,0.1,4.0,5545.37
ORD-10022,2023-01-24 14:54:10.539291217,South,Wholesale,Office Supplies,33.0,2,753.81,0.0,4.1,1507.62
ORD-10023,2023-01-25 17:53:53.898305084,South,Wholesale,Office Supplies,18.0,1,1902.98,0.0,2.6,1902.98
ORD-10024,2023-01-26 20:53:37.257318952,South,Online,Furniture,49.0,8,1723.97,0.0,3.9,13791.76
ORD-10025,2023-01-27 23:53:20.616332819,East,Online,Beauty,46.0,2,1538.3,0.05,4.3,2922.77
ORD-10026,2023-01-29 02:53:03.975346687,South,Online,Furniture,22.0,10,1286.65,0.05,4.0,12223.18
ORD-10027,2023-01-30 05:52:47.334360554,West,Online,Beauty,31.0,7,1510.57,0.05,3.3,10045.29
ORD-10028,2023-01-31 08:52:30.693374422,South,Online,Electronics,49.0,1,1240.2,0.1,4.7,1116.18
ORD-10029,2023-02-01 11:52:14.052388289,South,Store,Office Supplies,56.0,9,2196.72,0.1,3.4,17793.43
ORD-10030,2023-02-02 14:51:57.411402157,East,Online,Furniture,45.0,3,2936.96,0.0,3.1,8810.88
ORD-10031,2023-02-03 17:51:40.770416024,East,Online,Office Supplies,25.0,11,351.96,0.05,3.2,3677.98
ORD-10032,2023-02-04 20:51:24.129429892,East,Wholesale,Clothing,47.0,3,1713.02,0.2,3.9,4111.25
ORD-10033,2023-02-05 23:51:07.488443759,East,Online,Electronics,28.0,7,1486.37,0.0,4.5,10404.59
ORD-10034,2023-02-07 02:50:50.847457627,West,Online,Electronics,39.0,6,2169.28,0.1,4.7,11714.11
ORD-10035,2023-02-08 05:50:34.206471494,West,Store,Office Supplies,41.0,4,1086.17,0.1,4.0,3910.21
ORD-10036,2023-02-09 08:50:17.565485362,West,Online,Clothing,28.0,2,1690.17,0.1,3.1,3042.31
ORD-10037,2023-02-10 11:50:00.924499229,East,Store,Electronics,57.0,1,1020.31,0.05,3.5,969.29
ORD-10038,2023-02-11 14:49:44.283513097,East,Online,Beauty,52.0,6,2322.52,0.05,3.3,13238.36
ORD-10039,2023-02-12 17:49:27.642526964,South,Store,Office Supplies,23.0,11,1874.46,0.1,3.8,18557.15
ORD-10040,2023-02-13 20:49:11.001540832,West,Store,Beauty,40.0,4,1678.89,0.15,2.7,5708.23
ORD-10041,2023-02-14 23:48:54.360554699,South,Store,Electronics,23.0,4,2077.64,0.05,4.0,7895.03
ORD-10042,2023-02-16 02:48:37.719568567,North,Online,Beauty,53.0,8,1615.14,0.0,4.3,12921.12
ORD-10043,2023-02-17 05:48:21.078582434,West,Store,Clothing,36.0,11,634.63,0.0,3.8,6980.93
ORD-10044,2023-02-18 08:48:04.437596302,North,Wholesale,Beauty,35.0,6,2246.8,0.15,4.2,11458.68
ORD-10045,2023-02-19 11:47:47.796610169,West,Online,Beauty,29.0,11,2016.2,0.05,3.3,21069.29
ORD-10046,2023-02-20 14:47:31.155624037,East,Online,Electronics,22.0,8,1684.44,0.0,3.0,13475.52
ORD-10047,2023-02-21 17:47:14.514637904,North,Online,Electronics,24.0,9,2538.69,0.1,3.5,20563.39
ORD-10048,2023-02-22 20:46:57.873651772,North,Wholesale,Beauty,44.0,3,2713.87,0.15,4.7,6920.37
ORD-10049,2023-02-23 23:46:41.232665639,South,Wholesale,Office Supplies,52.0,7,980.79,0.1,4.6,6178.98
ORD-10050,2023-02-25 02:46:24.591679507,North,Online,Furniture,47.0,8,1214.19,0.0,3.6,9713.52
ORD-10051,2023-02-26 05:46:07.950693374,North,Wholesale,Clothing,28.0,4,2960.46,0.05,4.7,11249.75
ORD-10052,2023-02-27 08:45:51.309707242,East,Online,Beauty,62.0,9,2864.14,0.05,3.7,24488.4
ORD-10053,2023-02-28 11:45:34.668721109,West,Store,Furniture,49.0,5,1246.21,0.0,4.9,6231.05
ORD-10054,2023-03-01 14:45:18.027734977,South,Online,Beauty,60.0,8,914.47,0.2,4.2,5852.61
ORD-10055,2023-03-02 17:45:01.386748844,West,Wholesale,Electronics,18.0,5,1321.82,0.1,3.6,5948.19
ORD-10056,2023-03-03 20:44:44.745762712,West,Online,Clothing,20.0,1,1426.41,0.0,4.4,1426.41
ORD-10057,2023-03-04 23:44:28.104776579,West,Online,Furniture,20.0,2,611.95,0.15,3.4,1040.32
ORD-10058,2023-03-06 02:44:11.463790447,East,Store,Office Supplies,55.0,11,1823.38,0.2,3.3,16045.74
